id,original_title,release_date,release_year,runtime,vote_average
244458,The Voices,2015-02-06,2015,101,6.0
308504,Last Knights,2015-04-03,2015,115,6.3
314405,Il racconto dei racconti,2015-05-14,2015,125,5.7
282984,Irrational Man,2015-07-17,2015,95,6.1
157843,Queen of the Desert,2015-09-03,2015,128,6.0
275601,Ricki and the Flash,2015-07-10,2015,100,5.5
290762,Miss You Already,2015-09-12,2015,112,7.2
251516,Kung Fury,2015-05-28,2015,31,7.7
304372,The Perfect Guy,2015-09-11,2015,100,5.6
324807,A Bigger Splash,2015-11-26,2015,120,5.8
252512,While We're Young,2015-03-27,2015,97,5.9
257091,Get Hard,2015-03-26,2015,100,5.9
228968,Kidnapping Mr. Heineken,2015-03-12,2015,95,5.8
347969,The Ridiculous 6,2015-12-11,2015,119,4.8
237756,Kill Me Three Times,2015-04-10,2015,90,5.1
293646,The 33,2015-08-06,2015,120,5.8
245168,Suffragette,2015-10-16,2015,106,7.1
311291,45 Years,2015-08-28,2015,95,6.0
301351,We Are Your Friends,2015-08-26,2015,96,6.2
248574,Barely Lethal,2015-04-30,2015,96,5.5
225728,Macbeth,2015-08-16,2015,113,6.4
326425,Extraction,2015-12-18,2015,83,4.2
342474,Jenny's Wedding,2015-07-31,2015,94,5.2
277217,Descendants,2015-07-31,2015,112,6.7
207936,Tumbledown,2015-04-18,2015,105,6.6
250734,Far from the Madding Crowd,2015-05-01,2015,119,6.9
249688,The End of the Tour,2015-07-31,2015,106,7.3
268238,The Second Best Exotic Marigold Hotel,2015-02-26,2015,122,6.4
256962,Little Boy,2015-04-23,2015,106,7.1
322456,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015-02-10,2015,48,6.4
302528,Remember,2015-10-23,2015,94,7.7
222936,Aloha,2015-05-27,2015,105,5.2
316002,Accidental Love,2015-02-10,2015,100,3.6
365806,Halo: The Fall of Reach,2015-10-27,2015,67,5.3
10317,Our Brand Is Crisis,2015-09-11,2015,108,5.7
334538,Into the Forest,2015-06-03,2015,101,5.1
306947,The Invitation,2015-03-13,2015,100,6.4
328901,The Benefactor,2015-04-17,2015,90,4.5
382517,Open Season: Scared Silly,2015-12-31,2015,85,5.6
310133,Cop Car,2015-08-07,2015,86,5.5
237584,Mojave,2015-04-18,2015,93,4.3
288036,Sleeping with Other People,2015-06-26,2015,100,6.2
354110,Forsaken,2015-09-16,2015,90,5.6
331781,Amy,2015-07-03,2015,128,7.5
253161,Madame Bovary,2015-06-04,2015,118,5.3
312831,The Hallow,2015-11-06,2015,97,4.9
316322,Barbie in Princess Power,2015-01-29,2015,74,5.5
301846,Howl,2015-10-01,2015,89,4.9
306745,Freeheld,2015-10-02,2015,103,7.1
332340,Man Up,2015-05-29,2015,88,6.5
292431,Love,2015-07-06,2015,134,4.7
300693,Truth,2015-09-12,2015,121,6.4
333381,Return to Sender,2015-05-31,2015,95,5.0
256924,Danny Collins,2015-03-20,2015,107,6.6
253414,Rock the Kasbah,2015-10-22,2015,100,5.1
254172,Fathers and Daughters,2015-10-01,2015,116,7.0
320588,"Hello, My Name Is Doris",2015-11-27,2015,95,6.6
157544,The Vatican Tapes,2015-07-24,2015,91,4.5
283235,99 Homes,2015-09-25,2015,112,6.8
243938,Hot Tub Time Machine 2,2015-02-20,2015,93,5.0
86835,Knight of Cups,2015-09-10,2015,118,5.7
254905,Manglehorn,2015-06-03,2015,97,5.0
309242,Mississippi Grind,2015-07-04,2015,108,5.7
332502,400 Days,2015-10-29,2015,91,4.2
286192,Lava,2015-06-19,2015,7,7.3
284674,Air,2015-08-14,2015,94,4.7
360055,Riot,2015-09-27,2015,88,5.0
352179,Septembers of Shiraz,2015-09-15,2015,110,5.9
246127,Every Thing Will Be Fine,2015-04-02,2015,118,5.1
338676,Extinction,2015-08-07,2015,110,5.3
330982,The Childhood of a Leader,2015-09-02,2015,116,3.6
232572,A Walk in the Woods,2015-09-02,2015,104,5.4
112454,Clown,2015-03-02,2015,100,5.2
243940,The Lazarus Effect,2015-01-29,2015,83,4.9
321528,Batman vs. Robin,2015-04-14,2015,72,6.8
317744,Careful What You Wish For,2015-05-06,2015,91,5.4
300792,Racing Extinction,2015-01-24,2015,90,7.8
239573,Unfinished Business,2015-03-05,2015,90,4.9
167810,Lost River,2015-04-08,2015,95,5.7
